build_failed,NC,src_churn,test_churn,ConfigF,FilesA,FilesD,FilesM,srcF,docF,otherF,NUC,elapsed_days,same_committer,proj_fail_rate_history,proj_fail_rate_recent,comm_fail_rate_history,comm_fail_rate_recent,NDEV,prev_build_result,day_week,classif_build,TFC,BMsg,maintC,fixC,buildF,mergeC,NS,ND,EXP,entropy,Assertion Roulette,Conditional Test Logic,Constructor Initialization,CyclomaticComplexity,DataClass,DeadCode,Duplicate Assert,DuplicatedCode,Eager Test,EmptyTest,Exception Catching Throwing,ExcessiveParameterList,General Fixture,GodClass,IgnoredTest,Lazy Test,LooseCoupling,Magic Number Test,Mystery Guest,NPathComplexity,Print Statement,Redundant Assertion,Resource Optimism,Sensitive Equality,Sleepy Test,TooManyFields,TooManyMethods,Unknown Test
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.19047619,0.142857143,0.1,0.2,1,0,2,2,0,4.166337421,0,1,0,1,0,0,10,0,0,0,0,118,63,37,0,30,0,0,0,3,0,24,0,0,1,0,0,59,0,0,0,0,0,5,9,0
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.181818182,0.136363636,0.090909091,0.2,1,0,2,1,0,4.308663868,0,0,0,1,0,0,11,0,0,0,0,118,63,37,0,30,0,0,0,3,0,24,0,0,1,0,0,59,0,0,0,0,0,5,9,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.173913043,0.130434783,0,0,1,0,2,2,0,4.375747656,0,1,0,1,0,0,0,0,0,0,0,118,63,37,0,30,0,0,0,3,0,24,0,0,1,0,0,59,0,0,0,0,0,5,9,0
0,1,2,0,0,0,0,1,1,0,0,1,0,0,0.166666667,0.125,0.083333333,0.2,1,0,2,2,1,5.060263216,0,1,0,0,1,1,12,0,0,0,0,118,63,37,0,30,0,0,0,3,0,24,0,0,1,0,0,59,0,0,0,0,0,5,9,0
0,1,2,0,0,0,0,1,1,0,0,1,1,1,0.16,0.12,0.076923077,0.2,1,0,2,2,1,4.268753887,0,1,0,0,1,1,13,0,0,0,0,118,63,37,0,30,0,0,0,3,0,24,0,0,1,0,0,59,0,0,0,0,0,5,9,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.153846154,0.115384615,1,0.6,1,0,3,3,0,3.6105536,0,0,0,1,0,0,3,0,0,0,0,118,64,37,0,30,0,0,0,3,0,24,0,0,1,0,0,59,0,0,0,0,0,5,9,0
0,1,53,0,0,0,0,4,2,0,2,2,0,0,0.148148148,0.111111111,0.071428571,0.2,1,0,3,2,2,5.037219108,0,0,0,0,1,3,14,1.7126017,0,0,0,118,63,37,0,30,0,0,0,3,0,24,0,0,1,0,0,59,0,0,0,0,0,5,9,0
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.142857143,0.107142857,0.066666667,0.2,1,0,3,2,0,4.408401859,0,1,0,1,0,0,15,0,0,0,0,118,63,37,0,30,0,0,0,3,0,24,0,0,1,0,0,59,0,0,0,0,0,5,9,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.137931034,0.103448276,0,0,1,0,3,3,0,3.737309206,0,0,0,1,0,0,5,0,0,0,0,118,63,37,0,30,0,0,0,3,0,24,0,0,1,0,0,59,0,0,0,0,0,5,9,0
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.133333333,0.1,0,0,1,0,3,6,0,3.491048988,0,0,0,1,0,0,6,0,0,0,0,118,63,37,0,30,0,0,0,3,0,24,0,0,1,0,0,59,0,0,0,0,0,5,9,0
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.129032258,0.096774194,0,0,1,0,3,3,0,3.607499505,0,0,0,1,0,0,7,0,0,0,0,118,63,37,0,30,0,0,0,3,0,24,0,0,1,0,0,59,0,0,0,0,0,5,9,0
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.125,0.09375,0,0,1,0,3,3,0,3.560871226,0,0,0,1,0,0,8,0,0,0,0,118,63,37,0,30,0,0,0,3,0,24,0,0,1,0,0,59,0,0,0,0,0,5,9,0
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.121212121,0.090909091,0,0,1,0,3,3,0,3.330753141,0,0,0,1,0,0,9,0,0,0,0,118,63,36,0,30,0,0,0,3,0,24,0,0,1,0,0,59,0,0,0,0,0,5,9,0
0,1,46,0,0,0,0,5,4,0,1,5,1,1,0.117647059,0.088235294,0,0,1,0,4,1,3,5.273564664,0,0,0,0,2,5,10,1.9931909,0,0,0,118,63,37,0,30,0,0,0,3,0,24,0,0,1,0,0,59,0,0,0,0,0,5,9,0
0,1,62,0,0,0,0,1,1,0,0,1,0,1,0.114285714,0.085714286,0,0,1,0,4,2,1,6.556285121,0,0,0,0,1,1,11,0,0,0,0,118,63,38,0,30,0,0,0,3,0,24,0,0,1,0,0,59,0,0,0,0,0,5,9,0
0,1,2,0,0,0,0,1,1,0,0,1,0,1,0.111111111,0.083333333,0,0,1,0,4,2,1,4.662853622,0,1,0,0,1,1,12,0,0,0,0,118,63,38,0,30,0,0,0,3,0,24,0,0,1,0,0,59,0,0,0,0,0,5,9,0
0,1,4,0,0,0,0,1,1,0,0,1,0,1,0.108108108,0.081081081,0,0,1,0,4,1,1,5.337360691,0,0,0,0,1,1,13,0,0,0,0,118,63,38,0,30,0,0,0,3,0,24,0,0,1,0,0,59,0,0,0,0,0,5,9,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.105263158,0.078947368,0.0625,0.2,1,0,4,3,0,4.589434977,0,0,0,1,0,0,16,0,0,0,0,118,63,37,0,30,0,0,0,3,0,24,0,0,1,0,0,59,0,0,0,0,0,5,9,0
0,1,5,0,0,0,0,1,1,0,0,1,0,0,0.102564103,0.076923077,0,0,1,0,4,7,1,6.224115977,0,0,0,0,1,1,14,0,0,0,0,118,63,37,0,30,0,0,0,3,0,24,0,0,1,0,0,59,0,0,0,0,0,5,9,0
0,1,6,0,0,0,0,1,1,0,0,1,0,1,0.1,0.075,0,0,1,0,4,1,1,3.370701745,0,0,0,0,1,1,15,0,0,0,0,118,63,37,0,30,0,0,0,3,0,24,0,0,1,0,0,59,0,0,0,0,0,5,9,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.097560976,0.073170732,0,0,1,0,4,3,0,4.349455741,0,0,0,1,0,0,2,0,0,0,0,118,63,37,0,30,0,0,0,3,0,24,0,0,1,0,0,59,0,0,0,0,0,5,9,0
0,1,28,0,0,0,0,1,1,0,0,1,0,0,0.095238095,0.071428571,0,0,1,0,4,7,1,5.85260297,0,0,0,0,1,1,16,0,0,0,0,118,63,37,0,30,0,0,0,3,0,23,0,0,1,0,0,59,0,0,0,0,0,5,9,0
0,1,56,0,0,0,0,4,2,0,2,1,0,0,0.093023256,0.069767442,0,0,1,0,4,2,2,11.07387221,0,1,0,0,1,3,3,1.6804948,0,0,0,118,63,37,0,30,0,0,0,3,0,24,0,0,1,0,0,59,0,0,0,0,0,5,9,0
0,1,2,0,0,0,0,1,1,0,0,1,0,0,0.090909091,0.068181818,0,0,1,0,4,7,1,5.951832352,0,0,0,0,1,1,17,0,0,0,0,118,63,37,0,30,0,0,0,3,0,24,0,0,1,0,0,59,0,0,0,0,0,5,9,0
0,1,2,0,0,0,0,1,1,0,0,1,0,1,0.088888889,0.066666667,0,0,1,0,4,7,1,6.400541662,0,0,0,0,1,1,18,0,0,0,0,118,63,37,0,30,0,0,0,3,0,24,0,0,1,0,0,59,0,0,0,0,0,5,9,0
0,1,25,0,0,0,0,2,1,0,1,2,0,1,0.086956522,0.065217391,0,0,1,0,4,7,2,5.405909507,0,0,0,0,2,2,19,0.88797635,0,0,0,118,63,37,0,30,0,0,0,3,0,24,0,0,1,0,0,59,0,0,0,0,0,5,9,0
0,1,0,0,0,0,0,1,0,0,1,1,0,1,0.085106383,0.063829787,0,0,1,0,4,7,1,5.065678012,0,0,0,0,1,1,20,0,0,0,0,118,63,37,0,30,0,0,0,3,0,24,0,0,1,0,0,59,0,0,0,0,0,5,9,0
0,2,134,0,0,0,0,3,2,0,1,2,1,0,0.083333333,0.0625,0,0,1,0,5,0,2,3.867947701,0,0,0,1,1,2,4,0.26142687,0,0,0,118,63,37,0,30,0,0,0,3,0,24,0,0,1,0,0,59,0,0,0,0,0,5,9,0
0,1,40,0,0,0,0,2,2,0,0,1,0,1,0.081632653,0.06122449,0,0,1,0,5,7,1,5.673553087,1,0,0,0,1,1,5,0.46899563,0,0,0,118,63,37,0,30,0,0,0,3,0,24,0,0,1,0,0,59,0,0,0,0,0,5,9,0
0,1,94,0,0,0,0,2,1,0,1,2,1,1,0.08,0.06,0,0,1,0,6,1,2,6.909145651,0,0,0,0,1,2,6,0.57795763,0,0,0,118,63,37,0,30,0,0,0,3,0,24,0,0,1,0,0,59,0,0,0,0,0,5,9,0
0,1,14,0,0,0,0,1,1,0,0,1,0,0,0.078431373,0.058823529,0.75,0.6,1,0,6,7,1,7.127584661,0,0,0,0,1,1,4,0,0,0,0,118,63,37,0,30,0,0,0,3,0,24,0,0,1,0,0,59,0,0,0,0,0,5,9,0
0,1,20,0,0,0,0,2,1,0,1,1,0,0,0.076923077,0.057692308,0,0,1,0,6,2,2,6.718517658,1,1,0,0,1,2,7,0.9774178,0,0,0,118,63,37,0,30,0,0,0,3,0,24,0,0,1,0,0,59,0,0,0,0,0,5,9,0
0,2,57,0,0,0,0,4,3,0,1,4,0,0,0.075471698,0.056603774,0.6,0.6,1,0,6,0,3,6.738629642,0,0,0,0,2,3,5,1.025432,0,0,0,118,63,37,0,30,0,0,0,3,0,24,0,0,1,0,0,59,0,0,0,0,0,5,9,0
0,1,34,0,0,0,0,1,1,0,0,1,1,1,0.074074074,0.055555556,0.5,0.6,1,0,7,7,1,6.572522857,0,0,0,0,1,1,6,0,0,0,0,118,63,37,0,30,0,0,0,3,0,24,0,0,1,0,0,59,0,0,0,0,0,5,9,0
0,1,0,0,0,0,0,0,0,0,0,0,2,0,0.072727273,0.054545455,0.058823529,0.2,1,0,2,2,0,4.471687083,0,1,0,1,0,0,17,0,0,0,0,118,63,37,0,30,0,0,0,3,0,24,0,0,1,0,0,59,0,0,0,0,0,5,9,0
0,1,12,0,1,2,0,1,1,0,1,1,0,1,0.071428571,0.053571429,0.055555556,0.2,1,0,2,1,3,6.139278796,0,0,0,0,1,1,18,1.5574318,0,0,0,118,63,37,0,30,0,0,0,3,0,24,0,0,1,0,0,59,0,0,0,0,0,5,9,0
0,1,4,0,1,0,0,2,1,0,0,1,0,1,0.070175439,0.052631579,0.052631579,0.2,1,0,2,7,2,6.201435414,0,0,0,0,2,2,19,1,0,0,0,118,63,37,0,30,0,0,0,3,0,24,0,0,1,0,0,59,0,0,0,0,0,5,9,0
0,1,2,0,0,0,0,1,1,0,0,1,0,1,0.068965517,0.051724138,0.05,0.2,1,0,2,7,1,5.89235172,0,0,0,0,1,1,20,0,0,0,0,118,63,37,0,30,0,0,0,3,0,24,0,0,1,0,0,59,0,0,0,0,0,5,9,0
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.06779661,0.050847458,0.047619048,0.2,1,0,2,3,0,5.222174998,0,0,0,1,0,0,21,0,0,0,0,118,63,37,0,30,0,0,0,3,0,24,0,0,1,0,0,59,0,0,0,0,0,5,9,0
0,1,5,0,0,0,0,1,1,0,0,1,0,0,0.066666667,0.05,0.428571429,0.6,1,0,2,7,1,5.551551404,0,0,0,0,1,1,7,0,0,0,0,118,63,37,0,30,0,0,0,3,0,24,0,0,1,0,0,59,0,0,0,0,0,5,9,0
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.06557377,0.049180328,0.375,0.6,1,0,2,3,0,4.64763551,0,0,0,1,0,0,8,0,0,0,0,118,63,37,0,30,0,0,0,3,0,24,0,0,1,0,0,59,0,0,0,0,0,5,9,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.064516129,0.048387097,0.045454545,0.2,1,0,2,1,0,3.875787935,0,0,0,1,0,0,22,0,0,0,0,118,63,37,0,30,0,0,0,3,0,24,0,0,1,0,0,59,0,0,0,0,0,5,9,0
0,1,4,0,0,0,0,1,1,0,0,1,1,1,0.063492063,0.047619048,0.043478261,0.2,1,0,3,2,1,5.698786086,0,1,0,0,1,1,23,0,0,0,0,118,63,37,0,30,0,0,0,3,0,24,0,0,1,0,0,59,0,0,0,0,0,5,9,0
0,1,115,0,0,0,0,4,2,0,2,3,0,0,0.0625,0.046875,0,0,1,0,3,7,2,7.289350388,0,0,0,0,1,3,8,1.1382166,0,0,0,118,63,37,0,30,0,0,0,3,0,24,0,0,1,0,0,59,0,0,0,0,0,5,9,0
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.060606061,0.045454545,0,0,1,0,3,3,0,3.832375364,0,0,0,1,0,0,22,0,0,0,0,118,63,37,0,30,0,0,0,3,0,24,0,0,1,0,0,59,0,0,0,0,0,5,9,0
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.059701493,0.044776119,0,0,1,0,3,2,0,3.831344494,0,1,0,1,0,0,23,0,0,0,0,118,63,37,0,30,0,0,0,3,0,24,0,0,1,0,0,59,0,0,0,0,0,5,9,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.061538462,0.046153846,0,0,1,0,3,2,0,3.833408648,0,1,0,1,0,0,21,0,0,0,0,118,63,37,0,30,0,0,0,3,0,24,0,0,1,0,0,59,0,0,0,0,0,5,9,0
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.058823529,0.044117647,0,0,1,0,3,2,0,3.830316026,0,1,0,1,0,0,24,0,0,0,0,118,63,37,0,30,0,0,0,3,0,23,0,0,1,0,0,59,0,0,0,0,0,5,9,0
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.057971014,0.043478261,0,0,1,0,3,2,0,3.829289948,0,1,0,1,0,0,25,0,0,0,0,118,63,37,0,30,0,0,0,3,0,24,0,0,1,0,0,59,0,0,0,0,0,5,9,0
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.057142857,0.042857143,0,0,1,0,3,3,0,3.654979455,0,0,0,1,0,0,26,0,0,0,0,118,63,37,0,30,0,0,0,3,0,24,0,0,1,0,0,59,0,0,0,0,0,5,9,0
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.056338028,0.042253521,0,0,1,0,3,3,0,3.552591846,0,0,0,1,0,0,27,0,0,0,0,118,63,37,0,30,0,0,0,3,0,24,0,0,1,0,0,59,0,0,0,0,0,5,9,0
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.068493151,0.04109589,0.034482759,0,1,1,3,3,0,3.305348924,0,0,0,1,0,0,29,0,0,0,0,118,63,36,0,30,0,0,0,3,0,24,0,0,1,0,0,59,0,0,0,0,0,5,9,0
1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.055555556,0.041666667,0,0,1,0,3,3,0,3.339748404,0,0,0,1,0,0,28,0,0,0,0,118,63,37,0,29,0,0,0,3,0,24,0,0,1,0,0,59,0,0,0,0,0,5,9,0
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.067567568,0.040540541,0.033333333,0,1,0,3,3,0,3.511004267,0,0,0,1,0,0,30,0,0,0,0,118,63,37,0,30,0,0,0,3,0,24,0,0,1,0,0,59,0,0,0,0,0,5,9,0
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.066666667,0.04,0.032258065,0,1,0,3,6,0,3.447163682,0,0,0,1,0,0,31,0,0,0,0,118,63,37,0,30,0,0,0,3,0,24,0,0,1,0,0,59,0,0,0,0,0,5,9,0
