build_failed,NC,src_churn,test_churn,ConfigF,FilesA,FilesD,FilesM,srcF,docF,otherF,NUC,elapsed_days,same_committer,proj_fail_rate_history,proj_fail_rate_recent,comm_fail_rate_history,comm_fail_rate_recent,NDEV,prev_build_result,day_week,classif_build,TFC,BMsg,maintC,fixC,buildF,mergeC,NS,ND,EXP,entropy,Assertion Roulette,Conditional Test Logic,Constructor Initialization,CyclomaticComplexity,DataClass,DeadCode,Duplicate Assert,DuplicatedCode,Eager Test,EmptyTest,Exception Catching Throwing,ExcessiveParameterList,General Fixture,GodClass,IgnoredTest,Lazy Test,LooseCoupling,Magic Number Test,Mystery Guest,NPathComplexity,Print Statement,Redundant Assertion,Resource Optimism,Sensitive Equality,Sleepy Test,TooManyFields,TooManyMethods,Unknown Test
0,1,0,0,0,0,0,1,0,0,1,1,0,1,0.220014194,0.000709723,0.113207547,0.2,1,0,3,7,1,5.087060216,0,0,0,0,1,1,106,0,25,22,25,66,76,67,22,20,7,0,25,26,13,21,17,7,0,25,0,28,0,0,0,19,25,19,22,24
1,1,0,0,0,0,1,4,0,0,5,4,0,1,0.219858156,0.00070922,0.112149533,0.2,1,0,3,1,2,5.225834159,0,0,0,0,1,4,107,2.043986,25,19,24,66,76,67,25,20,8,0,23,26,24,21,16,8,0,22,0,28,0,0,0,19,19,19,22,19
1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.220411056,0.000708717,0.12037037,0.2,1,1,3,3,0,2.91388215,0,0,0,1,0,0,108,0,25,23,24,66,76,67,25,20,9,0,23,26,24,21,25,9,0,25,0,28,0,0,0,23,22,19,22,25
0,3,0,0,0,0,0,3,0,0,3,3,0,0,0.220963173,0.000708215,0.194174757,0,1,1,3,0,1,8.636390133,0,2,0,0,1,1,206,0.5923899,24,23,23,66,76,67,24,20,8,0,20,26,15,21,24,8,0,24,0,28,0,0,0,20,20,19,22,25
0,1,0,0,0,0,0,2,0,0,2,1,0,1,0.220806794,0.000707714,0.193236715,0,1,0,3,2,1,5.228079433,0,1,0,0,1,1,207,0.9182958,24,21,25,66,76,67,23,20,6,0,23,26,13,21,10,6,0,20,0,28,0,0,0,21,20,19,22,22
0,1,0,0,0,0,0,2,0,0,2,2,0,0,0.220338983,0.000706215,0.128440367,0.2,1,0,3,1,2,4.560675194,0,0,0,0,1,2,109,0.8238116,25,25,25,66,76,67,25,20,9,0,22,26,23,21,14,9,0,25,0,28,0,0,0,8,19,19,22,21
0,1,0,0,0,0,0,1,0,0,1,1,0,1,0.220183486,0.000705716,0.127272727,0.2,1,0,3,7,1,0,0,0,0,0,1,1,110,0,24,21,25,66,76,67,23,20,9,0,24,26,19,21,17,9,0,24,0,28,0,0,0,9,21,19,22,17
0,1,0,0,0,0,0,1,0,0,1,1,0,1,0.220028209,0.000705219,0.126126126,0.2,1,0,3,7,1,5.427463718,0,0,0,0,1,1,111,0,25,17,23,66,76,67,24,20,9,0,25,26,13,21,15,9,0,25,0,28,0,0,0,14,20,19,22,17
1,1,0,0,0,0,0,1,0,0,1,1,0,1,0.21987315,0.000704722,0.125,0.2,1,0,3,7,1,3.48173047,0,0,0,0,1,1,112,0,24,22,25,66,76,67,23,20,9,0,24,26,24,21,23,9,0,24,0,28,0,0,0,14,21,19,22,23
0,1,0,0,0,0,0,3,0,0,3,3,0,0,0.220422535,0.000704225,0.192307692,0,1,1,3,2,1,4.76135321,0,1,0,0,1,2,208,0.95552206,24,24,24,66,76,67,24,20,9,0,24,26,8,21,18,9,0,24,0,28,0,0,0,24,24,19,22,24
1,1,0,0,0,0,0,3,0,0,3,3,0,1,0.220267417,0.00070373,0.19138756,0,1,0,3,2,1,4.103762695,0,1,0,0,1,1,209,0.7847857,24,23,25,66,76,67,24,20,9,0,22,26,17,21,12,9,0,23,0,28,0,0,0,20,22,19,22,15
1,1,0,0,0,0,0,1,0,0,1,1,0,0,0.220815752,0.000703235,0.132743363,0.2,1,1,3,2,1,4.733092983,0,1,0,0,1,1,113,0,25,23,23,66,76,67,24,20,9,0,25,26,11,21,24,9,0,25,0,28,0,0,0,21,6,19,22,24
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.221363317,0.000702741,0.140350877,0.2,1,1,3,1,0,4.20847878,0,0,0,1,0,0,114,0,24,21,25,66,76,67,24,20,9,0,21,26,24,21,1,9,0,23,0,28,0,0,0,20,21,19,22,9
0,1,0,0,0,0,0,1,0,0,1,1,0,1,0.221207865,0.000702247,0.139130435,0.2,1,0,3,7,1,6.211240502,0,0,0,0,1,1,115,0,23,20,25,66,76,67,21,20,9,0,23,26,23,21,21,9,0,23,0,28,0,0,0,16,23,19,22,21
0,1,0,0,0,0,0,1,0,0,1,1,0,1,0.221052632,0.000701754,0.137931034,0.2,1,0,3,2,1,3.546442555,0,1,0,0,1,1,116,0,24,20,25,66,76,67,24,20,6,0,20,26,24,21,13,9,0,23,0,28,0,0,0,6,20,19,22,22
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.220897616,0.000701262,0.136752137,0.2,1,0,3,1,0,4.150751539,0,0,0,1,0,0,117,0,24,14,23,66,76,67,23,20,9,0,24,26,21,21,2,9,0,24,0,28,0,0,0,11,14,19,22,12
0,1,0,0,0,0,0,1,0,0,1,1,0,1,0.220742817,0.000700771,0.13559322,0.2,1,0,3,7,1,3.479680288,0,0,0,0,1,1,118,0,25,23,24,66,76,67,23,20,9,0,23,26,20,21,17,9,0,23,0,28,0,0,0,23,23,19,22,23
0,1,0,0,0,0,0,3,0,0,3,3,0,1,0.220588235,0.00070028,0.134453782,0.2,1,0,3,7,2,5.795055562,0,0,0,0,1,3,119,1.0847766,25,25,23,66,76,67,25,20,8,0,25,26,20,21,6,8,0,20,0,28,0,0,0,7,25,19,22,11
0,1,0,0,0,0,0,1,0,0,1,1,0,1,0.22043387,0.00069979,0.133333333,0.2,1,0,3,7,1,6.721164353,0,0,0,0,1,1,120,0,25,25,25,66,76,67,25,20,9,0,25,26,19,21,18,9,0,25,0,28,0,0,0,25,25,19,22,25
